id,clave,nombre,created_at,updated_at
1,101,GUBERNATURA,2026-03-22 13:24:44,2026-03-22 13:24:44
2,102,SECRETARÍA DE GOBIERNO,2026-03-22 13:24:44,2026-03-22 13:24:44
3,104,SECRETARÍA DE SEGURIDAD Y PROTECCIÓN CIUDADANA,2026-03-22 13:24:44,2026-03-22 13:24:44
4,106,SECRETARÍA DE INFRAESTRUCTURAS Y COMUNICACIONES,2026-03-22 13:24:44,2026-03-22 13:24:44
5,108,SECRETARÍA DEL TRABAJO,2026-03-22 13:24:44,2026-03-22 13:24:44
6,109,SECRETARÍA DE MOVILIDAD,2026-03-22 13:24:44,2026-03-22 13:24:44
7,110,SECRETARÍA DE LAS CULTURAS Y ARTES,2026-03-22 13:24:44,2026-03-22 13:24:44
8,111,"SECRETARÍA DE BIENESTAR, TEQUIO E INCLUSIÓN",2026-03-22 13:24:44,2026-03-22 13:24:44
9,112,"SECRETARÍA DE INTERCULTURALIDAD, PUEBLOS Y COMUNIDADES INDÍGENAS Y AFROMEXICANAS",2026-03-22 13:24:44,2026-03-22 13:24:44
10,113,SECRETARÍA DE FOMENTO AGROALIMENTARIO Y DESARROLLO RURAL,2026-03-22 13:24:44,2026-03-22 13:24:44
11,114,SECRETARÍA DE FINANZAS,2026-03-22 13:24:44,2026-03-22 13:24:44
12,117,SECRETARÍA DE ADMINISTRACIÓN,2026-03-22 13:24:44,2026-03-22 13:24:44
13,118,SECRETARÍA DE ADMINISTRACIÓN-DIRECCIÓN DE RECURSOS HUMANOS,2026-03-22 13:24:44,2026-03-22 13:24:44
14,119,"SECRETARÍA DE HONESTIDAD, TRANSPARENCIA Y FUNCIÓN PÚBLICA",2026-03-22 13:24:44,2026-03-22 13:24:44
15,121,CONSEJERÍA JURÍDICA Y ASISTENCIA LEGAL DEL ESTADO,2026-03-22 13:24:44,2026-03-22 13:24:44
16,124,COORDINACIÓN DE COMUNICACIÓN SOCIAL,2026-03-22 13:24:44,2026-03-22 13:24:44
17,125,COORDINACIÓN PARA LA ATENCIÓN DE LOS DERECHOS HUMANOS,2026-03-22 13:24:44,2026-03-22 13:24:44
18,126,INSTITUTO DE PLANEACIÓN PARA EL BIENESTAR,2026-03-22 13:24:44,2026-03-22 13:24:44
19,127,SECRETARIADO EJECUTIVO DEL SISTEMA ESTATAL DE SEGURIDAD PÚBLICA,2026-03-22 13:24:44,2026-03-22 13:24:44
20,128,SECRETARÍA DE DESARROLLO ECONÓMICO,2026-03-22 13:24:44,2026-03-22 13:24:44
21,129,SECRETARÍA DE TURISMO,2026-03-22 13:24:44,2026-03-22 13:24:44
22,130,SECRETARÍA DE LAS MUJERES,2026-03-22 13:24:44,2026-03-22 13:24:44
23,131,"SECRETARÍA DE MEDIO AMBIENTE, BIODIVERSIDAD, ENERGÍAS Y SOSTENIBILIDAD",2026-03-22 13:24:44,2026-03-22 13:24:44
24,133,SECRETARÍA DE EDUCACIÓN PÚBLICA,2026-03-22 13:24:44,2026-03-22 13:24:44
25,501,CAMINOS BIENESTAR,2026-03-22 13:24:44,2026-03-22 13:24:44
26,502,CASA DE LA CULTURA OAXAQUEÑA,2026-03-22 13:24:44,2026-03-22 13:24:44
27,504,CENTRO DE LAS ARTES DE SAN AGUSTÍN,2026-03-22 13:24:44,2026-03-22 13:24:44
28,506,"COLEGIO DE BACHILLERES DEL ESTADO DE OAXACA
",2026-03-22 13:24:44,2026-03-22 13:24:44
29,507,"COLEGIO DE ESTUDIOS CIENTÍFICOS Y TECNOLÓGICOS DEL ESTADO DE OAXACA
",2026-03-22 13:24:44,2026-03-22 13:24:44
30,508,"COLEGIO SUPERIOR PARA LA EDUCACIÓN INTEGRAL INTERCULTURAL DE OAXACA
",2026-03-22 13:24:44,2026-03-22 13:24:44
31,511,VIVIENDA BIENESTAR,2026-03-22 13:24:44,2026-03-22 13:24:44
32,512,COMISIÓN ESTATAL DEL AGUA PARA EL BIENESTAR,2026-03-22 13:24:44,2026-03-22 13:24:44
33,513,COMISIÓN ESTATAL FORESTAL,2026-03-22 13:24:44,2026-03-22 13:24:44
34,516,COMISIÓN PARA LA REGULARIZACIÓN DE LA TENENCIA DE LA TIERRA URBANA DEL ESTADO DE OAXACA,2026-03-22 13:24:44,2026-03-22 13:24:44
35,517,CONSEJO ESTATAL PARA LA PREVENCIÓN Y CONTROL DEL SIDA,2026-03-22 13:24:44,2026-03-22 13:24:44
36,519,"CONSEJO OAXAQUEÑO DE CIENCIA, TECNOLOGÍA E INNOVACIÓN",2026-03-22 13:24:44,2026-03-22 13:24:44
37,520,COORDINACIÓN ESTATAL DE PROTECCIÓN CIVIL Y GESTIÓN DE RIESGOS,2026-03-22 13:24:44,2026-03-22 13:24:44
38,521,CORPORACIÓN OAXAQUEÑA DE RADIO Y TELEVISIÓN,2026-03-22 13:24:44,2026-03-22 13:24:44
39,523,HOSPITAL DE LA NIÑEZ OAXAQUEÑA,2026-03-22 13:24:44,2026-03-22 13:24:44
40,524,"INSTITUTO DE CAPACITACIÓN Y PRODUCTIVIDAD PARA EL TRABAJO DEL ESTADO DE OAXACA
",2026-03-22 13:24:44,2026-03-22 13:24:44
41,525,"INSTITUTO DE ESTUDIOS DE BACHILLERATO DEL ESTADO DE OAXACA
",2026-03-22 13:24:44,2026-03-22 13:24:44
42,526,INSTITUTO DE LA JUVENTUD DEL ESTADO DE OAXACA,2026-03-22 13:24:44,2026-03-22 13:24:44
43,528,INSTITUTO DEL PATRIMONIO CULTURAL DEL ESTADO DE OAXACA,2026-03-22 13:24:44,2026-03-22 13:24:44
44,530,"INSTITUTO ESTATAL DE EDUCACIÓN PARA ADULTOS
",2026-03-22 13:24:44,2026-03-22 13:24:44
45,532,INSTITUTO OAXAQUEÑO CONSTRUCTOR DE INFRAESTRUCTURA EDUCATIVA,2026-03-22 13:24:44,2026-03-22 13:24:44
46,535,"INSTITUTO TECNOLÓGICO SUPERIOR DE SAN MIGUEL EL GRANDE
",2026-03-22 13:24:44,2026-03-22 13:24:44
47,536,"INSTITUTO TECNOLÓGICO SUPERIOR DE TEPOSCOLULA
",2026-03-22 13:24:44,2026-03-22 13:24:44
48,538,"NOVAUNIVERSITAS
",2026-03-22 13:24:44,2026-03-22 13:24:44
49,539,SISTEMA OPERADOR DE LOS SERVICIOS DE AGUA POTABLE Y ALCANTARILLADO,2026-03-22 13:24:44,2026-03-22 13:24:44
50,540,SERVICIOS DE SALUD DEL ESTADO DE OAXACA,2026-03-22 13:24:44,2026-03-22 13:24:44
51,541,SISTEMA PARA EL DESARROLLO INTEGRAL DE LA FAMILIA DEL ESTADO DE OAXACA,2026-03-22 13:24:44,2026-03-22 13:24:44
52,542,"UNIVERSIDAD DE CHALCATONGO
",2026-03-22 13:24:44,2026-03-22 13:24:44
53,543,"UNIVERSIDAD DE LA CAÑADA
",2026-03-22 13:24:44,2026-03-22 13:24:44
54,544,"UNIVERSIDAD DE LA COSTA
",2026-03-22 13:24:44,2026-03-22 13:24:44
55,545,"UNIVERSIDAD DE LA SIERRA JUÁREZ
",2026-03-22 13:24:44,2026-03-22 13:24:44
56,546,"UNIVERSIDAD DE LA SIERRA SUR
",2026-03-22 13:24:44,2026-03-22 13:24:44
57,548,"UNIVERSIDAD DEL MAR
",2026-03-22 13:24:44,2026-03-22 13:24:44
58,549,"UNIVERSIDAD DEL PAPALOAPAN
",2026-03-22 13:24:44,2026-03-22 13:24:44
59,550,"UNIVERSIDAD TECNOLÓGICA DE LA MIXTECA
",2026-03-22 13:24:44,2026-03-22 13:24:44
60,551,"UNIVERSIDAD TECNOLÓGICA DE LA SIERRA SUR DE OAXACA
",2026-03-22 13:24:44,2026-03-22 13:24:44
61,552,UNIVERSIDAD TECNOLÓGICA DE LOS VALLES CENTRALES DE OAXACA,2026-03-22 13:24:44,2026-03-22 13:24:44
62,554,DEFENSORÍA PÚBLICA DEL ESTADO DE OAXACA,2026-03-22 13:24:44,2026-03-22 13:24:44
63,558,INSTITUTO DE LA FUNCIÓN REGISTRAL DEL ESTADO DE OAXACA,2026-03-22 13:24:44,2026-03-22 13:24:44
64,561,ORGANISMO OPERADOR ENCARGADO DE LA GESTIÓN Y MANEJO INTEGRAL DE LOS RESIDUOS SÓLIDOS URBANOS Y DE MANEJO ESPECIAL DEL ESTADO DE OAXACA,2026-03-22 13:24:44,2026-03-22 13:24:44
65,562,COORDINACIÓN DE DELEGADOS DE PAZ SOCIAL,2026-03-22 13:24:44,2026-03-22 13:24:44
66,563,TELEBACHILLERATO COMUNITARIO DEL ESTADO DE OAXACA,2026-03-22 13:24:44,2026-03-22 13:24:44
67,565,INSTITUTO DEL DEPORTE,2026-03-22 13:24:44,2026-03-22 13:24:44
68,568,SISTEMA DE TRANSPORTE COLECTIVO METROPOLITANO CITYBUS OAXACA,2026-03-22 13:24:44,2026-03-22 13:24:44
69,569,"UNIVERSIDAD POLITÉCNICA DE NOCHIXTLAN ""ABRAHAM CASTELLANOS""
",2026-03-22 13:24:44,2026-03-22 13:24:44
70,570,UNIVERSIDAD AUTONOMA COMUNAL DE OAXACA,2026-03-22 13:24:44,2026-03-22 13:24:44
71,571,COMISIÓN ESTATAL DE BÚSQUEDA DE PERSONAS DESAPARECIDAS PARA EL ESTADO DE OAXACA,2026-03-22 13:24:44,2026-03-22 13:24:44
72,572,DIRECCIÓN GENERAL DEL HANGAR OFICIAL DEL GOBIERNO DEL ESTADO,2026-03-22 13:24:44,2026-03-22 13:24:44
73,573,CENTRO DE CONCILIACIÓN LABORAL DEL ESTADO DE OAXACA,2026-03-22 13:24:44,2026-03-22 13:24:44
74,574,PROCURADURIA DE PROTECCION AL AMBIENTE DEL ESTADO DE OAXACA,2026-03-22 13:24:44,2026-03-22 13:24:44
75,575,"COMISIÓN EJECUTIVA ESTATAL DE ATENCIÓN INTEGRAL A VÍCTIMAS
",2026-03-22 13:24:44,2026-03-22 13:24:44
76,576,"ARCHIVO GENERAL DEL ESTADO DE OAXACA
",2026-03-22 13:24:44,2026-03-22 13:24:44
77,578,UNIDAD DE INTELIGENCIA PATRIMONIAL Y ECONÓMICA DEL ESTADO DE OAXACA,2026-03-22 13:24:44,2026-03-22 13:24:44
78,579,"UNIVERSIDAD POLITECNICA Y TECNOLOGICA DEL ISTMO DE TEHUANTEPEC
",2026-03-22 13:24:44,2026-03-22 13:24:44
79,580,AFROUNIVERSIDAD POLITECNICA INTERCULTURAL,2026-03-22 13:24:44,2026-03-22 13:24:44
80,582,COORDINACIÓN PARA LA COMERCIALIZACIÓN DE PRODUCTOS OAXAQUEÑOS,2026-03-22 13:24:44,2026-03-22 13:24:44
81,584,INSTITUTO DE LENGUAS ORIGINARIAS DE OAXACA,2026-03-22 13:24:44,2026-03-22 13:24:44
82,585,INSTITUTO ESTATAL DE CREACIÓN LITERARIA Y PROMOCIÓN DE LA LECTURA,2026-03-22 13:24:44,2026-03-22 13:24:44
83,587,AGENCIA DE TECNOLOGIAS E INNOVACION DIGITAL,2026-03-22 13:24:44,2026-03-22 13:24:44
84,601,FIDEICOMISO PARA EL DESARROLLO LOGÍSTICO DEL ESTADO DE OAXACA,2026-03-22 13:24:44,2026-03-22 13:24:44
85,602,FIDEICOMISO DE FOMENTO PARA EL ESTADO DE OAXACA,2026-03-22 13:24:44,2026-03-22 13:24:44
86,801,OFICINA DE PENSIONES DEL ESTADO DE OAXACA,2026-03-22 13:24:44,2026-03-22 13:24:44
87,901,PLANEACIÓN,2026-03-22 13:24:44,2026-03-22 13:24:44
